"","subID","memory","degree","outdegree","indegree","outdegree_scaled","indegree_scaled","outdegree_log","indegree_log","high_outdegree","low_outdegree","high_indegree","low_indegree"
"1","2","Purple slippers trunk parking lot",2,2,0,0.0163841139065855,-0.946526822167497,0.693147180559945,0,1,0,0,1
"2","2","Mcdonalds playground stuck crying",2,1,1,-0.41488804569902,-0.464099659838529,0,0,0,1,0,1
"3","2","Spongebob project elementary school",6,4,2,0.878928433117797,0.0183275024904388,1.38629436111989,0.693147180559945,1,0,1,0
"4","2","grandma dentures brushing nature",3,0,3,-0.846160205304626,0.500754664819407,0,1.09861228866811,0,1,1,0
"5","2","dad cigarettes smoking hug dog horse",4,3,1,0.447656273512191,-0.464099659838529,1.09861228866811,0,1,0,0,1
"6","2","mom yelling orchestra chair broke",6,5,1,1.3102005927234,-0.464099659838529,1.6094379124341,0,1,0,0,1
"7","2","pizza classroom tiny piece",3,2,1,0.0163841139065855,-0.464099659838529,0.693147180559945,0,1,0,0,1
"8","2","sprain finger basketball scary",6,4,2,0.878928433117797,0.0183275024904388,1.38629436111989,0.693147180559945,1,0,1,0
"9","2","arm broke park Rebecca",2,0,2,-0.846160205304626,0.0183275024904388,0,0.693147180559945,0,1,1,0
"10","2","glasses broke crying basketball",4,0,4,-0.846160205304626,0.983181827148375,0,1.38629436111989,0,1,1,0
"11","2","hermit crab gumdo wooden sword fight",12,10,2,3.46656139075143,0.0183275024904388,2.30258509299405,0.693147180559945,1,0,1,0
"12","2","Mom crying fight napkin",6,4,2,0.878928433117797,0.0183275024904388,1.38629436111989,0.693147180559945,1,0,1,0
"13","2","piano competition shaking international",3,0,3,-0.846160205304626,0.500754664819407,0,1.09861228866811,0,1,1,0
"14","2","high school chemistry project nakita nation",5,4,1,0.878928433117797,-0.464099659838529,1.38629436111989,0,1,0,0,1
"15","2","Phone photos Spanish embarrassing",6,2,4,0.0163841139065855,0.983181827148375,0.693147180559945,1.38629436111989,1,0,1,0
"16","2","Panda Express friend hungry delicious",7,3,4,0.447656273512191,0.983181827148375,1.09861228866811,1.38629436111989,1,0,1,0
"17","2","Beach sand walking family happy",1,0,1,-0.846160205304626,-0.464099659838529,0,0,0,1,0,1
"18","2","Indian food delicious bone stuck throat",7,2,5,0.0163841139065855,1.46560898947734,0.693147180559945,1.6094379124341,1,0,1,0
"19","2","Mukbangs tiktok reels delicious longing",5,4,1,0.878928433117797,-0.464099659838529,1.38629436111989,0,1,0,0,1
"20","2","wingstop stomach hurting pain",4,1,3,-0.41488804569902,0.500754664819407,0,1.09861228866811,0,1,1,0
"21","2","cousin annoying selfish painful",3,0,3,-0.846160205304626,0.500754664819407,0,1.09861228866811,0,1,1,0
"22","2","friend funny food beach happy",8,1,7,-0.41488804569902,2.43046331413528,0,1.94591014905531,0,1,1,0
"23","2","Girl class angry invertebrate uneasy",5,2,3,0.0163841139065855,0.500754664819407,0.693147180559945,1.09861228866811,1,0,1,0
"24","2","Turtle video YouTube shocked happy",6,4,2,0.878928433117797,0.0183275024904388,1.38629436111989,0.693147180559945,1,0,1,0
